,id,pre_root_id,post_root_id,cleft_vx,ctr_pos_x_vx,ctr_pos_y_vx,ctr_pos_z_vx,pre_cell_type,pre_cell_subtype,post_cell_type,post_cell_subtype,autapse,seg_err,seg_err_note,manual_inspection_notes
3123371,2509235,648518346349528994,648518346349528994,671,83186,55184,1047,inhibitory,basket,inhibitory,basket,TRUE,FALSE,none,this is a true autapse
187561,323093,648518346349528939,648518346349528939,595,46035,61913,561,na,na,na,na,FALSE,TRUE,nuclear membrane,"nuclear membrane, not an autapse"
1381822,1788948,648518346349539806,648518346349539806,282,49980,47802,1673,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,two spines in contact with axon,"this is an interesting contact of two spines, but the synapse appears to belong to a passing axon and was mis-segmented"
3220530,1638172,648518346349530766,648518346349530766,250,45516,71130,942,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,nuclear membrane,"probably a nuclear membrane, not an autapse"
1119231,1465951,648518346349536939,648518346349536939,219,66602,46750,791,na,na,na,na,FALSE,TRUE,two spines in contact with axon,"this is an interesting contact of two spines, but the synapse appears to belong to a passing axon and was mis-segmented"
2927193,1361061,648518346349538718,648518346349538718,203,86050,39612,1756,pyramidal,pyramidal cell,pyramidal,pyramidal cell,TRUE,FALSE,none,this is a true autapse
709761,906051,648518346349539506,648518346349539506,145,85476,58000,366,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,two spines in contact with axon,"this is an interesting contact of two spines, but the synapse appears to belong to a passing axon and was mis-segmented"
105577,866619,648518346349539853,648518346349539853,141,100242,47382,220,pyramidal,pyramidal cell,pyramidal,pyramidal cell,TRUE,FALSE,none,this is a true autapse
3117032,1780461,648518346349528939,648518346349528939,141,46004,61833,563,na,na,na,na,FALSE,TRUE,nuclear membrane,this is not a true synapse; it is an interesting nuclear invagination
489042,700236,648518346349537389,648518346349537389,123,108754,71308,519,inhibitory,bipolar,inhibitory,bipolar,FALSE,TRUE,ER,this is not a true synapse; looks like ER in a dendrite
2820986,2978671,648518346349539401,648518346349539401,112,60648,52815,315,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,ER,this is not a true synapse; looks like ER in the soma
1435829,3350244,648518346349538209,648518346349538209,111,75663,52041,1207,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,neuronal primary cilia filament,this is not a true synpase; it is part of the neuronal primary cilia
2821715,548889,648518346349537404,648518346349537404,109,95074,69696,2086,inhibitory,bipolar,inhibitory,bipolar,FALSE,TRUE,uncertain,this is probably not an autapse or synapse; it is an interesting small stub on the soma
1571263,225728,648518346349537961,648518346349537961,93,115633,57859,802,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,nuclear membrane,this is not a true synapse; it is the nuclear membrane
209137,371173,648518346349529575,648518346349529575,92,40656,67050,1422,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,edge artifact,this is not a true synapse; it is inside the nucleus
2820389,261037,648518346349537271,648518346349537271,82,100524,52772,1097,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,folded dendritic spine,this is a folded over spine; not a true synapse
250260,231414,648518346349538112,648518346349538112,80,100614,53088,1789,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,two spines in contact with axon,"this is an interesting contact of two spines, but the synapse appears to belong to a passing axon and was mis-segmented"
2840304,485927,648518346349525821,648518346349525821,73,99266,75624,914,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,nuclear membrane,this is not a true synapse; it is the nuclear membrane
167981,50917,648518346349529575,648518346349529575,65,40542,67372,1611,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,nuclear membrane,this is not a true synapse; it is the nuclear membrane
2983656,55344,648518346349539414,648518346349539414,65,103770,56904,1221,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,neuronal primary cilia filament,this is not a true synpase; it is part of the neuronal primary cilia
3118809,49455,648518346349528913,648518346349528913,65,46496,65416,543,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,nuclear membrane,this is not a true synapse; it is the nuclear membrane
19387,35312,648518346349527390,648518346349527390,64,49834,70482,45,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,nuclear membrane,this is not a true synapse; it is the nuclear membrane
2828138,5614,648518346349539906,648518346349539906,62,59962,63320,255,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,two spines in contact with axon,"this is an interesting contact of two spines, but the synapse appears to belong to a passing axon and was mis-segmented"
2858559,3493544,648518346349536992,648518346349536992,57,89218,76294,1454,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,edge artifact,this is a segmentation error due to being near the edge of the volume
1571446,3487555,648518346349537961,648518346349537961,56,115630,57896,802,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,nuclear membrane,this is not a true synapse; it is the nuclear membrane
2689052,3436084,648518346349539853,648518346349539853,53,110738,60530,1455,pyramidal,pyramidal cell,pyramidal,pyramidal cell,FALSE,TRUE,two spines in contact with axon,this is not a true synapse; it is two contacting spines that were mis-segmented as a synaptic contact
2697981,3444310,648518346349530342,648518346349530342,53,38592,66448,2062,na,na,na,na,FALSE,TRUE,edge artifact,this is a segmentation error due to being near the edge of the volume
